team_size,duration_months,completed_tasks,pending_tasks,requirement_changes,critical_bugs,budget_used_percent,delay_risk
5,6,80,20,2,1,70,Low
4,5,70,30,4,3,80,Medium
3,4,40,60,8,7,95,High
8,10,90,10,1,0,60,Low
6,8,65,35,5,4,85,Medium
4,6,45,55,7,6,92,High
10,12,95,5,1,1,55,Low
7,9,75,25,3,2,76,Medium
5,7,50,50,6,5,90,High
9,11,88,12,2,1,65,Low
6,7,68,32,4,3,82,Medium
3,5,38,62,9,8,98,High
8,8,85,15,2,0,68,Low
5,6,62,38,5,3,84,Medium
4,5,42,58,7,5,94,High
7,10,92,8,1,1,58,Low
6,9,72,28,4,2,79,Medium
3,4,35,65,10,9,99,High
9,12,89,11,2,1,63,Low
5,8,64,36,5,4,87,Medium
4,7,48,52,8,6,93,High
8,9,87,13,1,0,61,Low
6,6,69,31,3,3,78,Medium
3,6,43,57,9,7,96,High
10,10,94,6,1,0,52,Low
7,8,74,26,4,2,81,Medium
4,5,46,54,7,6,91,High
9,9,91,9,2,1,59,Low
6,7,67,33,5,3,83,Medium
3,5,39,61,8,8,97,High
